F,1,5,-1
F,1,4,48
F,1,4,50
C,2,5,52
C,2,5,55
C,3,5,55
C,3,5,52
F,4,5,53
F,4,5,53
F,5,5,-1
F,5,4,48
F,5,4,50
C,6,5,52
C,6,5,55
G7,7,5,55
G7,7,5,53
C,8,6,52
C,9,4,-1
C,9,4,48
C,9,4,48
C,9,4,50
C,10,5,52
C,10,5,55
C,10,5,55
C7,11,4,-1
C7,11,4,55
C7,11,4,53
C7,11,4,52
F,12,5,48
F,12,5,53
F,13,4,-1
F,13,4,53
F,13,4,52
F,13,4,50
G7,14,5,50
G7,14,5,52
G7,15,4,-1
G7,15,4,50
G7,15,4,50
G7,15,4,48
C,16,6,48
C,1,5,-1
C,1,3,-1
C,1,4,55
C,1,3,55
C,2,5,60
C,2,4,60
C,2,4,62
Am,3,5,64
Am,3,4,64
Am,3,4,62
F,4,5,65
F,4,4,65
F,4,4,64
Dm,5,5,62
Dm,5,4,62
Dm,5,4,60
G,6,5,59
G,6,4,59
G,6,4,57
G7,7,5,55
G7,7,4,55
G7,7,4,53
C,8,6,52
G7,9,5,52
G7,9,3,-1
G7,9,4,55
G7,9,3,55
C,10,5,60
C,10,4,60
C,10,4,62
Am,11,5,64
Am,11,4,64
Am,11,4,62
F,12,5,65
F,12,4,65
F,12,4,64
Dm,13,5,62
Dm,13,4,62
Dm,13,4,60
G,14,5,59
G,14,4,59
G,14,4,57
G7,15,5,55
G7,15,4,55
G7,15,4,62
C,16,6,60
F,1,3,57
F,1,3,56
F,1,3,57
F,1,3,60
F#dim,1,4,60
F#dim,1,4,54
C,2,3,57
C,2,3,55
C,2,3,54
C,2,3,55
A7,2,5,55
Dm,3,3,52
Dm,3,3,50
Dm,3,3,49
Dm,3,3,50
G7,3,3,57
G7,3,3,55
G7,3,3,53
G7,3,3,50
G7,4,4,48
G7,4,3,54
G7,4,3,55
Fm,4,4,56
Fm,4,4,55
Cm,5,3,55
Cm,5,3,54
Cm,5,3,55
Cm,5,4,60
Cm,5,3,58
Cm,5,3,56
Cm,5,3,55
Cm,6,5,55
Cm,6,3,-1
C7,6,3,55
C7,6,3,54
C7,6,3,55
C7,7,4,60
C7,7,3,58
C7,7,3,55
Fm,7,5,58
Fm,8,5,56
Bb,8,3,53
Bb,8,3,52
Bb,8,3,53
Bb,8,3,58
Bb,9,3,58
Bb,9,3,56
Bb,9,3,55
Cm,9,4,53
Cm,9,3,51
Cm,9,3,53
Cm,9,3,55
Cm,10,3,55
Fm,10,4,55
Fm,10,3,53
Fm,10,3,55
Fm,10,4,53
Fm,10,3,50
Fm,11,3,53
G7,11,3,55
G7,11,5,55
G8,11,4,55
Cm,12,3,55
Cm,12,3,54
Cm,12,3,55
Cm,12,4,60
Cm,12,3,58
Cm,12,3,56
Cm,12,3,55
Cm,13,5,55
Cm,13,3,-1
C7,13,3,55
C7,13,3,54
C7,13,3,55
C7,14,4,60
C7,14,3,58
C7,14,3,55
Fm,14,5,58
Fm,15,5,56
Bb,15,3,53
Bb,15,3,52
Bb,15,3,53
Bb,15,3,58
Bb,16,3,58
Bb,16,3,56
Bb,16,3,55
Cm,16,4,53
Cm,16,3,51
Cm,16,3,53
Cm,16,3,55
Cm,17,3,55
Fm,17,4,55
Fm,17,3,53
Fm,17,3,55
Fm,17,4,53
Fm,17,3,50
Fm,18,3,53
G7,18,3,55
G7,18,5,55
G8,18,4,55